NPA,employment_2023,grad_2023,job_density_2022,home_price_2021,home_price_2023,homicide_count
139,100.0,92.9,1,158406.0,278580.0,4
140,94.6,80.8,0,211003.0,485566.0,6
141,100.0,80.0,3,131261.0,846389.0,10
142,93.9,92.9,5,189327.0,607985.0,3
143,100.0,100.0,1,513774.0,319042.0,0
144,94.5,89.5,0,200389.0,1107147.0,0
145,89.0,90.0,1,172620.0,676608.0,0
146,95.2,95.0,2,219641.0,290167.0,4
147,94.7,78.8,0,150645.0,,3
148,95.8,100.0,1,531823.0,409175.0,0
149,97.2,94.4,3,323441.0,271526.0,0
150,100.0,83.9,0,201958.0,275050.0,3
151,92.1,97.3,1,405639.0,304061.0,1
152,90.9,92.3,0,192577.0,213737.0,0
153,96.1,98.3,4,310974.0,257312.0,2
154,95.8,90.9,1,264655.0,349851.0,0
155,96.8,79.3,0,259372.0,242590.0,3
156,95.2,91.9,0,223022.0,329087.0,0
157,86.9,,5,231944.0,677971.0,8
158,93.8,89.2,3,181167.0,405518.0,10
159,97.0,87.5,0,138472.0,301515.0,9
160,100.0,78.6,2,171911.0,542213.0,8
161,100.0,81.5,0,777972.0,518758.0,1
162,84.0,84.6,1,178158.0,362646.0,0
163,93.3,57.1,28,431966.0,400781.0,1
164,95.4,71.1,3,271007.0,395623.0,9
165,97.2,90.5,3,165180.0,322156.0,0
166,87.6,100.0,1,181923.0,581477.0,2
167,92.9,,1,166167.0,479042.0,5
168,95.6,90.0,1,178365.0,278200.0,3
169,100.0,98.0,1,318599.0,522000.0,1
170,90.7,100.0,2,422494.0,272450.0,0
171,97.7,92.3,8,428528.0,276069.0,0
172,96.4,100.0,2,392009.0,272433.0,0
173,95.5,78.6,5,159595.0,1401196.0,0
174,93.7,90.3,2,219924.0,382500.0,2
175,91.6,100.0,0,403421.0,257640.0,0
176,98.2,98.0,1,358567.0,381147.0,0
177,97.3,100.0,0,494659.0,243738.0,1
178,96.0,90.9,10,303653.0,305083.0,5
179,97.6,100.0,1,654447.0,266979.0,0
180,89.6,87.5,2,196357.0,334864.0,2
181,96.7,95.5,1,501487.0,542350.0,0
182,95.0,100.0,4,224417.0,528237.0,4
183,100.0,83.3,0,203167.0,346814.0,2
184,97.3,80.0,1,587085.0,280989.0,0
185,96.3,81.6,2,,487287.0,1
186,94.8,89.7,2,182581.0,537674.0,3
187,100.0,100.0,3,440750.0,640647.0,0
188,96.4,100.0,1,381926.0,290948.0,0
189,95.7,100.0,2,792111.0,596958.0,0
190,100.0,100.0,2,133488.0,505042.0,7
191,99.4,94.4,1,228496.0,371783.0,1
192,94.3,93.5,1,258290.0,329514.0,6
193,93.7,94.1,5,749973.0,667910.0,0
194,99.2,98.1,1,811930.0,,0
195,99.3,83.1,0,264301.0,387026.0,5
196,94.5,90.3,0,189441.0,301635.0,0
197,97.9,95.5,0,141926.0,437083.0,1
198,99.0,81.3,1,476096.0,814429.0,1
199,95.6,77.1,4,138333.0,312553.0,11
200,95.7,87.5,4,452538.0,458091.0,3
201,96.2,100.0,0,752496.0,526580.0,2
202,94.3,68.4,1,184926.0,897500.0,4
203,91.6,87.5,0,311785.0,433565.0,0
204,95.9,95.8,7,338931.0,236500.0,1
205,100.0,100.0,1,832841.0,336500.0,0
206,95.5,100.0,1,442667.0,354773.0,0
207,98.5,88.9,10,310146.0,346495.0,1
208,98.7,100.0,0,1323214.0,1163259.0,0
209,96.1,94.6,0,226169.0,983262.0,1
210,98.1,92.9,9,455799.0,393690.0,0
211,93.3,87.9,0,222219.0,433932.0,2
212,100.0,77.8,12,202337.0,544283.0,3
213,96.6,100.0,24,628470.0,305500.0,0
215,100.0,100.0,0,1043733.0,281230.0,0
216,89.3,100.0,1,1077111.0,764293.0,0
217,100.0,93.8,0,888324.0,279676.0,0
218,96.9,90.0,1,254438.0,1178573.0,1
219,94.7,64.3,4,179206.0,317204.0,14
220,89.2,85.7,0,190803.0,553725.0,1
221,97.2,77.3,1,237008.0,247167.0,4
222,98.8,100.0,0,444522.0,421521.0,1
223,88.9,90.9,0,214951.0,444477.0,11
224,90.3,94.1,1,350849.0,1045038.0,2
225,93.7,92.3,0,239083.0,324466.0,0
226,100.0,,0,382012.0,423700.0,1
227,99.9,100.0,0,239871.0,1801065.0,1
228,100.0,85.7,1,367128.0,286194.0,0
229,89.1,78.8,1,253942.0,343732.0,6
230,95.7,76.9,0,101660.0,323804.0,0
231,100.0,86.1,1,287809.0,300375.0,0
232,98.6,92.9,1,234682.0,654208.0,1
233,95.7,94.1,5,405258.0,1314130.0,1
234,94.1,85.7,1,221447.0,1205319.0,5
235,96.0,100.0,0,505919.0,358625.0,0
236,96.9,,1,1124790.0,299955.0,0
237,98.6,87.8,0,180803.0,345478.0,3
238,98.5,94.9,1,195950.0,516902.0,1
240,93.4,90.0,4,350706.0,338150.0,2
241,100.0,100.0,0,775442.0,467122.0,0
242,89.7,96.0,0,226481.0,698039.0,4
243,100.0,84.6,0,234419.0,,1
244,97.8,84.6,0,225767.0,233600.0,1
245,87.5,100.0,1,227482.0,521795.0,5
246,96.7,84.6,3,144149.0,299833.0,4
247,100.0,100.0,4,,403833.0,7
248,100.0,91.7,1,,524483.0,3
249,89.8,83.3,2,,457784.0,11
250,93.8,100.0,1,199529.0,215200.0,0
251,96.6,86.8,0,268309.0,392341.0,1
252,80.8,85.7,0,291759.0,329986.0,0
253,97.9,91.3,12,376390.0,312764.0,0
254,100.0,85.7,11,359456.0,316484.0,2
255,94.1,96.8,1,442781.0,1479926.0,0
256,98.8,89.7,0,432554.0,477179.0,0
257,94.9,94.1,1,360285.0,271462.0,0
258,86.8,97.5,1,184185.0,505523.0,3
259,99.3,92.9,0,182000.0,969519.0,3
260,97.1,93.9,3,204257.0,308974.0,8
261,98.3,85.7,0,255005.0,362567.0,0
262,97.1,96.3,0,501912.0,223771.0,1
263,98.0,96.2,0,452403.0,,1
264,93.3,90.0,0,222301.0,254182.0,4
265,97.7,75.0,0,256933.0,203000.0,0
266,97.2,93.5,0,248759.0,318135.0,0
267,95.0,93.5,2,314486.0,197318.0,1
268,97.6,81.8,0,204963.0,385500.0,1
269,93.1,100.0,2,408553.0,387432.0,0
270,94.3,80.0,10,,484471.0,1
271,90.5,100.0,0,154033.0,400735.0,0
272,90.3,80.0,5,,538559.0,2
273,96.6,84.2,0,249264.0,311079.0,1
274,94.9,100.0,28,,409216.0,2
275,97.8,100.0,1,336318.0,475682.0,2
276,100.0,95.2,1,257489.0,507566.0,3
277,98.7,100.0,0,308461.0,772545.0,0
278,98.6,88.9,2,234855.0,215231.0,2
279,100.0,92.3,0,169016.0,279819.0,0
280,100.0,74.4,4,156090.0,595824.0,1
281,96.5,100.0,5,225863.0,281525.0,1
282,99.6,68.4,0,201388.0,282110.0,3
283,99.6,85.7,0,194886.0,339057.0,2
284,95.3,95.5,2,557715.0,413273.0,0
285,,,5,,741491.0,2
286,98.9,100.0,5,218400.0,594247.0,1
287,100.0,100.0,7,267250.0,338672.0,0
288,97.9,100.0,1,360955.0,357864.0,0
289,93.7,87.7,1,305549.0,383779.0,1
290,99.8,100.0,15,418258.0,385626.0,13
291,100.0,73.9,1,146825.0,309455.0,5
292,100.0,72.7,1,113000.0,,6
293,94.9,70.0,1,214583.0,270654.0,7
294,89.4,87.5,1,228848.0,,2
295,94.9,91.7,0,213712.0,340097.0,4
296,95.0,97.4,0,277353.0,565875.0,0
297,100.0,,1,561292.0,,0
298,92.5,84.6,10,166000.0,460628.0,0
299,98.8,96.9,1,187948.0,374961.0,3
300,100.0,,5,277000.0,325111.0,0
301,94.7,96.0,0,241051.0,287267.0,2
302,100.0,86.8,1,432727.0,281071.0,0
303,76.1,92.3,8,368795.0,494444.0,0
304,92.9,100.0,1,,,1
305,95.9,70.0,0,210725.0,273457.0,0
306,85.6,92.3,6,154350.0,321000.0,5
307,94.8,95.0,4,225953.0,308286.0,7
308,100.0,100.0,0,342655.0,495638.0,0
309,86.4,100.0,0,419018.0,508933.0,0
310,96.9,93.0,2,326592.0,443261.0,0
311,98.4,100.0,1,176138.0,385632.0,4
312,96.0,100.0,0,172500.0,297000.0,2
313,85.3,70.8,5,234971.0,323225.0,1
314,95.0,65.2,0,321500.0,441888.0,1
