X,Y,OBJECTID,ID,CRIME_REPORT_ID,AGE,GENDER,RACE_ETHNICITY,CLEARANCE_STATUS,IPV,WEAPON,LOCATION,X_COORD_PUBLIC,Y_COORD_PUBLIC,LATITUDE_PUBLIC,LONGITUDE_PUBLIC,CMPD_PATROL_DIVISION,NPA,CLEARANCE_DATE,CIRCUMSTANCES,COUNCIL_DISTRICT,COMMISSION_DISTRICT,CORRIDOR,CALENDAR_YEAR,CALENDAR_MONTH,DATE_REPORTED
1464004.99990147,537276.000115812,1,1,20260714-1846-01,,Male,Black,Open,,,1400 EASTCREST DR,1464005,537276,35.212953,-80.794612,Eastway,86,,Other/Unknown,1,4,,2026,07,2026/07/14 00:00:00+00
1476960.99990806,523536.000036806,2,2,20260712-0716-01,31,Female,Black,Open,,Handgun,7100 WALLACE RD,1476961,523536,35.175842,-80.750431,Independence,245,,Argument,5,4,,2026,07,2026/07/12 00:00:00+00
1457911.99994838,550439.000036478,3,3,20260710-1948-01,20,Male,Black,Open,,Firearm,2700 N TRYON ST,1457912,550439,35.24881,-80.815814,Metro,369,,Robbery,1,3,GRAHAM STREET/NORTH TRYON,2026,07,2026/07/10 00:00:00+00
1478441.99989881,566388.999960557,4,4,20260707-0045-01,20,Male,Black,Open,,Firearm,8200 UNIVERSITY CITY BV,1478442,566389,35.293641,-80.748001,University City,219,2026/07/16 00:00:00+00,Other/Unknown,4,3,,2026,07,2026/07/07 00:00:00+00
1433380.00012797,556703.99997364,5,5,20260628-0930-01,27,Female,Black,Open,,Handgun,900 WABASH AV,1433380,556704,35.264761,-80.89837,Freedom,346,2026/07/02 00:00:00+00,Argument,2,2,,2026,06,2026/06/28 00:00:00+00
1444125.99996139,523944.999874979,6,6,20260619-2118-02,23,Female,Black,Cleared by Arrest by Another Agency,Intimate Partner,Knife,1100 SCALEYBARK RD,1444126,523945,35.175325,-80.860319,Westover,13,2026/06/22 00:00:00+00,Domestic,1,5,,2026,06,2026/06/19 00:00:00+00
1424987.99985164,567074.999900892,7,7,20260618-0937-02,51,Female,Black,Open,,Unknown,6800 CIERA NICHOLE CT,1424988,567075,35.292807,-80.927153,Freedom,137,2026/06/21 00:00:00+00,Domestic,2,2,,2026,06,2026/06/18 00:00:00+00
1447767.99989522,557368.999955982,8,8,20260615-0108-00,46,Male,Black,Open,,Firearm,2100 HOLLY ST,1447768,557369,35.267334,-80.850218,Metro,374,,Argument,2,3,,2026,06,2026/06/15 00:00:00+00
1483049.99986914,540530.999839395,9,9,20260614-1059-01,30,Male,Black,Open,,Handgun,5800 HICKORY GROVE RD,1483050,540531,35.222825,-80.731049,Hickory Grove,166,,Other/Unknown,5,4,,2026,06,2026/06/14 00:00:00+00
1446506.00012264,545794.000140145,10,10,20260610-0642-00,27,Male,Asian,Open,,Knife,1000 W TRADE ST,1446506,545794,35.235471,-80.853721,Central,476,2026/06/18 00:00:00+00,Other/Unknown,2,4,,2026,06,2026/06/10 00:00:00+00
1432426.00006747,544579.99994348,11,11,20260603-1129-00,18,Male,Black,Cleared by Arrest by Another Agency,,Handgun,3900 BRISTOL DR,1432426,544580,35.231404,-80.900788,Freedom,387,2026/06/04 00:00:00+00,Robbery,3,2,FREEDOM DRIVE/WILKINSON,2026,06,2026/06/03 00:00:00+00
1450765.00013481,545353.000037894,12,12,20260522-1809-01,44,Male,Black,Open,,Handgun,900 N PINE ST,1450765,545353,35.234477,-80.839433,Central,476,,Other/Unknown,2,4,,2026,05,2026/05/22 00:00:00+00
1460628.0000938,549538.999867976,13,13,20260521-0210-00,38,Female,Black,Cleared by Arrest by Another Agency,,Handgun,3100 N DAVIDSON ST,1460628,549539,35.246474,-80.806664,Eastway,343,2026/05/21 00:00:00+00,Argument,1,4,,2026,05,2026/05/21 00:00:00+00
1472932.00009206,560885.000141814,14,14,20260519-1438-04,16,Male,Black,Open,,Rifle,6700 N TRYON ST,1472932,560885,35.278252,-80.766135,North Tryon,103,2026/05/21 00:00:00+00,Other/Unknown,1,3,,2026,05,2026/05/19 00:00:00+00
1415202.00006673,554958.999854729,15,15,20260517-1843-01,50,Male,Black,Open,,Handgun,8100 PAW CLUB DR,1415202,554959,35.258996,-80.959141,Freedom,34,2026/05/17 00:00:00+00,Domestic,3,2,,2026,05,2026/05/17 00:00:00+00
1467198.00007714,550020.999888226,16,16,20260515-0156-03,37,Male,Black,Open,,Firearm,1200 WELDON AV,1467198,550021,35.248125,-80.784691,North Tryon,10,,Other/Unknown,1,3,,2026,05,2026/05/15 00:00:00+00
1436340.00011347,558892.999860734,17,17,20260510-0354-00,,Male,Black,Open,,Firearm,4900 ROZZELLES FERRY RD,1436340,558893,35.270929,-80.888595,Freedom,141,,Other/Unknown,2,2,,2026,05,2026/05/10 00:00:00+00
1436340.00011347,558892.999860734,18,18,20260510-0354-00,34,Male,Black,Open,,Firearm,4900 ROZZELLES FERRY RD,1436340,558893,35.270929,-80.888595,Freedom,141,,Other/Unknown,2,2,,2026,05,2026/05/10 00:00:00+00
1475173.99987313,535953.00013715,19,19,20260503-1119-01,0,Male,Hispanic,Open,,Physical,3700 N SHARON AMITY RD,1475174,535953,35.209868,-80.757146,Hickory Grove,127,2026/05/13 00:00:00+00,Domestic,5,4,CENTRAL/ALBEMARLE,2026,05,2026/05/03 00:00:00+00
1482105.00011872,532405.000015303,20,20,20260501-0335-01,19,Female,White,Open,Intimate Partner,Unknown,6600 YATESWOOD DR,1482105,532405,35.200455,-80.733738,Hickory Grove,316,2026/05/05 00:00:00+00,Domestic,5,4,CENTRAL/ALBEMARLE,2026,05,2026/05/01 00:00:00+00
1476909.00001206,568895.999867812,21,21,20260409-2030-00,38,Male,Black,Open,,Handgun,100 E MCCULLOUGH DR,1476909,568896,35.300454,-80.753286,University City,219,,Other/Unknown,4,3,,2026,04,2026/04/09 00:00:00+00
1439216.99993689,574515.000112727,22,22,20260406-0213-01,58,Female,Black,Cleared by Arrest by Another Agency,Intimate Partner,Firearm,5700 CARDINGTON CT,1439217,574515,35.313995,-80.879949,North,211,2026/04/06 00:00:00+00,Domestic,2,2,,2026,04,2026/04/06 00:00:00+00
1480192.00000772,552328.999865398,23,23,20260401-1200-01,76,Male,Black,Open,,Unknown,6900 THE PLAZA,1480192,552329,35.255099,-80.74131,North Tryon,17,,Other/Unknown,5,3,,2026,04,2026/04/01 00:00:00+00
1467227.00001913,580021.999925479,24,24,20260327-0922-01,35,Female,Black,Open,,Firearm,3100 HIGH GLEN DR,1467227,580022,35.330545,-80.786402,University City,264,,Other/Unknown,2,3,,2026,03,2026/03/27 00:00:00+00
1478817.00013305,510101.000003979,25,25,20260324-1525-01,85,Male,White,Open,,Knife,1200 MAPLE SHADE LN,1478817,510101,35.139022,-80.743431,Independence,36,2026/03/25 00:00:00+00,Domestic,6,5,,2026,03,2026/03/24 00:00:00+00
1457418.99995014,588470.000089809,26,26,20260322-1939-04,20,Male,Black,Open,,Rifle,5900 HUCKS RD,1457419,588470,35.353263,-80.8198,North,276,2026/05/16 00:00:00+00,Other/Unknown,4,1,,2026,03,2026/03/22 00:00:00+00
1478383.00001681,533545.000031888,27,27,20260322-0212-00,31,Male,Hispanic,Cleared by Arrest by Another Agency,,Handgun,5800 ALBEMARLE RD,1478383,533545,35.203408,-80.746262,Hickory Grove,135,2026/03/26 00:00:00+00,Argument,5,4,CENTRAL/ALBEMARLE,2026,03,2026/03/22 00:00:00+00
1405580.99995181,569446.000080138,28,28,20260317-1016-01,24,Male,Black,Open,,Handgun,700 BELMEADE DR,1405581,569446,35.298268,-80.992338,Freedom,73,2026/03/20 00:00:00+00,Other/Unknown,0,2,,2026,03,2026/03/17 00:00:00+00
1459304.00011714,540507.999885395,29,29,20260312-2212-00,23,Female,White,Open,,"	Vehicle/Vess",1400 THE PLAZA,1459304,540508,35.221598,-80.810546,Eastway,378,2026/03/23 00:00:00+00,Other/Unknown,1,4,,2026,03,2026/03/12 00:00:00+00
1470498.0000388,537696.999929979,30,30,20260310-1637-00,26,Female,Hispanic,Open,Intimate Partner,Firearm,4300 CENTRAL AV,1470498,537697,35.21443,-80.772902,Eastway,90,2026/03/11 00:00:00+00,Domestic,5,4,CENTRAL/ALBEMARLE,2026,03,2026/03/10 00:00:00+00
1451601.00010322,556952.000133812,31,31,20260306-1554-02,26,Male,Hispanic,Cleared by Arrest by Another Agency,,Handgun,2100 ALMA CT,1451601,556952,35.266384,-80.837353,Metro,363,2026/03/08 00:00:00+00,Argument,1,3,,2026,03,2026/03/06 00:00:00+00
1481731.99988048,553458.99990198,32,32,20260219-1626-00,38,Male,Black,Open,,Handgun,7400 THE PLAZA,1481732,553459,35.258278,-80.736219,Hickory Grove,39,2026/02/19 00:00:00+00,Argument,5,3,,2026,02,2026/02/19 00:00:00+00
1438368.99999247,560297.000005484,33,33,20260215-0606-00,33,Female,Black,Open,Intimate Partner,Firearm,700 LAWTON RD,1438369,560297,35.274892,-80.881887,Freedom,158,2026/02/16 00:00:00+00,Domestic,2,2,,2026,02,2026/02/15 00:00:00+00
1459587.99987721,551527.000157058,34,34,20260209-1616-02,37,Male,Black,Open,,Firearm,100 ATANDO AV,1459588,551527,35.251883,-80.810268,North Tryon,21,,Other/Unknown,1,3,GRAHAM STREET/NORTH TRYON,2026,02,2026/02/09 00:00:00+00
1466120.99993455,581323.999946147,35,35,20260209-0033-01,45,Male,Black,Open,,Handgun,3500 DAVID COX RD,1466121,581324,35.334067,-80.790188,University City,275,2026/02/19 00:00:00+00,Robbery,4,3,,2026,02,2026/02/09 00:00:00+00
1470498.0000388,537696.999929979,36,36,20260208-1415-02,22,Female,Black,Open,,Handgun,3000 TIMBER HOLLOW DR,1470498,537697,35.21443,-80.772902,Eastway,90,2026/02/08 00:00:00+00,Drugs,5,4,CENTRAL/ALBEMARLE,2026,02,2026/02/08 00:00:00+00
1420430.00010939,579826.999987394,37,37,20260206-1032-01,50,Female,White,Open,,Handgun,9700 CALLABRIDGE CT,1420430,579827,35.327594,-80.943262,North,109,2026/02/06 00:00:00+00,Other/Unknown,0,1,,2026,02,2026/02/06 00:00:00+00
1496070.0000758,537211.999915734,38,38,20260204-0920-02,37,Female,Hispanic,Open,,Physical,7400 HARRISBURG RD,1496070,537212,35.214323,-80.68727,Hickory Grove,229,2026/02/27 00:00:00+00,Drugs,5,4,,2026,02,2026/02/04 00:00:00+00
1432319.99995139,537588.000147983,39,39,20260125-2037-00,26,Male,Hispanic,Cleared by Arrest by Another Agency,,Firearm,2400 ELMIN ST,1432320,537588,35.21219,-80.900694,Westover,120,2026/01/27 00:00:00+00,Other/Unknown,3,2,WEST BOULEVARD,2026,01,2026/01/25 00:00:00+00
1484597.00005597,586224.999986649,40,40,20260124-1324-00,23,Female,Black,Open,Intimate Partner,"	Handgun",14000 WHISTLING TEAL DR,1484597,586225,35.348431,-80.728534,University City,336,2026/01/25 00:00:00+00,Domestic,4,3,,2026,01,2026/01/24 00:00:00+00
1470498.0000388,537696.999929979,41,41,20260124-0337-03,34,Male,Hispanic,Open,,"	Handgun",4300 CENTRAL AV,1470498,537697,35.21443,-80.772902,Eastway,164,2026/03/31 00:00:00+00,Other/Unknown,5,4,CENTRAL/ALBEMARLE,2026,01,2026/01/24 00:00:00+00
1453529.99985413,544401.99997139,42,42,20260114-1533-02,23,Male,Black,Open,,Handgun,300 ALPHA MILL LN,1453530,544402,35.232004,-80.830116,Central,476,2026/01/23 00:00:00+00,Other/Unknown,1,4,,2026,01,2026/01/14 00:00:00+00
1440059.99989131,536901.999879554,43,43,20260111-0004-00,20,Male,Black,Open,,Handgun,700 REMOUNT RD,1440060,536902,35.21071,-80.874742,Westover,388,,Other/Unknown,3,2,,2026,01,2026/01/11 00:00:00+00
1440481.00003356,548427.000123471,44,44,20260105-1904-00,24,Male,Black,Open,,Handgun,3000 CAROL AV,1440481,548427,35.242393,-80.874061,Metro,293,2026/01/27 00:00:00+00,Drugs,2,2,,2026,01,2026/01/05 00:00:00+00
1470380.99994472,545516.00003998,45,45,20260104-0238-01,18,Male,Hispanic,Open,,"	Vehicle/Vessel",3200 SHAMROCK DR,1470381,545516,35.235905,-80.773762,Eastway,389,2026/03/06 00:00:00+00,Other/Unknown,1,4,,2026,01,2026/01/04 00:00:00+00
1445019.00014389,552294.999933392,46,46,20251223-2322-00,33,Male,Black,Cleared by Arrest by Another Agency,,Knife,2400 BOOKER AV,1445019,552295,35.253254,-80.859108,Metro,85,2025/12/29 00:00:00+00,Argument,2,2,BEATTIES FORD/ROZZELLES FERRY,2025,12,2025/12/23 00:00:00+00
1482558.99986689,564839.00010781,47,47,20251223-0750-06,16,Male,Hispanic,Cleared by Arrest by Another Agency,,Knife,1500 KIRK FARM LN,1482559,564839,35.289581,-80.734115,University City,221,2025/12/23 00:00:00+00,Argument,4,3,,2025,12,2025/12/23 00:00:00+00
1434056.0000883,513686.000051811,48,48,20251220-0335-01,18,Male,Hispanic,Open,,"	Handgun",800 FARMHURST DR,1434056,513686,35.146618,-80.893357,Steele Creek,53,2026/01/08 00:00:00+00,Argument,3,2,,2025,12,2025/12/20 00:00:00+00
1434056.0000883,513686.000051811,49,49,20251220-0335-01,16,Male,Hispanic,Open,,"	Handgun",800 FARMHURST DR,1434056,513686,35.146618,-80.893357,Steele Creek,53,2026/01/08 00:00:00+00,Argument,3,2,,2025,12,2025/12/20 00:00:00+00
1497505.00015855,538653.999984473,50,50,20251216-0740-03,6,Female,Black,Cleared by Arrest by Another Agency,,"	Other Weapon",7600 GWYNNE HILL RD,1497505,538654,35.218351,-80.682548,Hickory Grove,229,2026/02/04 00:00:00+00,Domestic,5,4,,2025,12,2025/12/16 00:00:00+00
1471157.00003314,529466.999985814,51,51,20251215-0303-00,44,Male,Black,Open,,Firearm,2300 N SHARON AMITY RD,1471157,529467,35.191853,-80.770205,Providence,240,2025/12/18 00:00:00+00,Other/Unknown,5,4,,2025,12,2025/12/15 00:00:00+00
1445419.99999805,551888.000091225,52,52,20251211-0935-00,31,Female,Black,Open,Intimate Partner,,2300 SANDERS AV,1445420,551888,35.252156,-80.857739,Metro,85,2025/12/12 00:00:00+00,Domestic,2,2,BEATTIES FORD/ROZZELLES FERRY,2025,12,2025/12/11 00:00:00+00
1461188.99995606,560159.999951392,53,53,20251210-1648-00,34,Male,Black,Cleared by Arrest by Another Agency,,Knife,5100 REAGAN DR,1461189,560160,35.27568,-80.805432,North Tryon,138,2025/12/19 00:00:00+00,Argument,1,3,SUGAR CREEK/I-85,2025,12,2025/12/10 00:00:00+00
1430765.00010864,550650.999940559,54,54,20251204-0816-01,28,Male,Black,Open,,Firearm,4800 TUCKASEEGEE RD,1430765,550651,35.247994,-80.906739,Freedom,258,,Other/Unknown,2,2,,2025,12,2025/12/04 00:00:00+00
1459587.99987721,551527.000157058,55,55,20251130-0447-02,26,Male,Black,Exceptionally Cleared,,Handgun,100 ATANDO AV,1459588,551527,35.251883,-80.810268,North Tryon,21,2025/11/30 00:00:00+00,Argument,1,3,GRAHAM STREET/NORTH TRYON,2025,11,2025/11/30 00:00:00+00
1432022.99988922,553756.999962151,56,56,20251125-2116-03,34,Male,Asian,Open,,Handgun,1600 THRIFTWOOD DR,1432023,553757,35.256593,-80.902726,Freedom,385,,Drugs,2,2,,2025,11,2025/11/25 00:00:00+00
1436296.99987139,525776.00014998,57,57,20251122-0204-00,39,Male,Black,Cleared by Arrest by Another Agency,,Handgun,200 W WOODLAWN RD,1436297,525776,35.179949,-80.88663,Westover,290,2025/12/22 00:00:00+00,Other/Unknown,3,2,,2025,11,2025/11/22 00:00:00+00
1452528.99988763,541783.999958068,58,58,20251114-2247-04,31,Male,Black,Open,,Handgun,400 N ALEXANDER ST,1452529,541784,35.224762,-80.833306,Central,476,2026/04/29 00:00:00+00,Other/Unknown,1,4,,2025,11,2025/11/14 00:00:00+00
1456615.99991572,540521.999857396,59,59,20251106-2111-01,68,Female,White,Open,,Knife,1100 CENTRAL AV,1456616,540522,35.221501,-80.819546,Eastway,367,2025/11/07 00:00:00+00,Other/Unknown,1,4,,2025,11,2025/11/06 00:00:00+00
1434056.0000883,513686.000051811,60,60,20251102-2153-03,0,Male,Hispanic,Open,,Physical,800 FARMHURST DR,1434056,513686,35.146618,-80.893357,Steele Creek,53,2025/11/06 00:00:00+00,Domestic,3,2,,2025,11,2025/11/02 00:00:00+00
1455276.99996905,566812.00009881,61,61,20251102-1424-00,,Male,Black,Cleared by Arrest by Another Agency,,Handgun,4200 OAKWOOD RD,1455277,566812,35.293657,-80.825647,North,237,2025/11/06 00:00:00+00,Other/Unknown,2,3,,2025,11,2025/11/02 00:00:00+00
1455276.99996905,566812.00009881,62,62,20251102-1424-00,23,Male,Black,Cleared by Arrest by Another Agency,,Handgun,4200 OAKWOOD RD,1455277,566812,35.293657,-80.825647,North,237,2025/11/06 00:00:00+00,Other/Unknown,2,3,,2025,11,2025/11/02 00:00:00+00
1433069.0000938,564892.999999806,63,63,20251101-0026-03,17,Female,Black,Open,,Handgun,6100 OLD PLANK RD,1433069,564893,35.287241,-80.899937,North,113,,Other/Unknown,2,2,,2025,11,2025/11/01 00:00:00+00
1439189.99999088,515802.000084892,64,64,20251027-1833-01,23,Male,White,Open,,Firearm,6100 SOUTH BV,1439190,515802,35.152699,-80.876319,Westover,71,,Argument,3,2,,2025,10,2025/10/27 00:00:00+00
1464095.00004955,539099.000078723,65,65,20251025-1601-01,54,Male,White,Cleared by Arrest by Another Agency,,Blunt Trauma,3000 CENTRAL AV,1464095,539099,35.217966,-80.794421,Eastway,86,2025/10/31 00:00:00+00,Argument,1,4,,2025,10,2025/10/25 00:00:00+00
1439140.00009088,557569.999882057,66,66,20251023-1607-01,34,Male,Black,Exceptionally Cleared,,Handgun,300 N HOSKINS RD,1439140,557570,35.267441,-80.879131,Freedom,141,2025/10/31 00:00:00+00,Other/Unknown,2,2,,2025,10,2025/10/23 00:00:00+00
1439140.00009088,557569.999882057,67,67,20251023-1607-01,38,Male,Black,Exceptionally Cleared,,Handgun,300 N HOSKINS RD,1439140,557570,35.267441,-80.879131,Freedom,141,2025/10/31 00:00:00+00,Other/Unknown,2,2,,2025,10,2025/10/23 00:00:00+00
1428316.00008538,543493.000148982,68,68,20251019-0125-00,41,Male,Black,Open,,Firearm,4600 WILKINSON BV,1428316,543493,35.228201,-80.914478,Freedom,387,2025/10/19 00:00:00+00,Argument,3,2,FREEDOM DRIVE/WILKINSON,2025,10,2025/10/19 00:00:00+00
1427493.00009097,556576.999899566,69,69,20251018-1701-00,30,Male,Black,Cleared by Arrest by Another Agency,,Handgun,100 PARK FAIRFAX DR,1427493,556577,35.264101,-80.91808,Freedom,346,2026/01/20 00:00:00+00,Other/Unknown,2,2,,2025,10,2025/10/18 00:00:00+00
1462971.00000097,564682.000093728,70,70,20251018-1649-00,68,Male,White,Open,,Handgun,5600 N GRAHAM ST,1462971,564682,35.288192,-80.799737,North Tryon,328,2025/10/18 00:00:00+00,Argument,1,3,,2025,10,2025/10/18 00:00:00+00
1464587.0000498,537207.999923721,71,71,20251018-0157-01,50,Male,Hispanic,Open,,Blunt trauma,1300 WEMBLEY DR,1464587,537208,35.212795,-80.79266,Eastway,86,2025/12/02 00:00:00+00,Other/Unknown,1,4,,2025,10,2025/10/18 00:00:00+00
1438309.00011247,555935.999869227,72,72,20251014-2246-05,37,Male,Black,Open,,Handgun,100 N CRIGLER ST,1438309,555936,35.262909,-80.881811,Freedom,141,2025/11/06 00:00:00+00,Other/Unknown,2,2,,2025,10,2025/10/14 00:00:00+00
1451223.99987297,515960.000096977,73,73,20251013-0657-01,45,Female,Black,Open,,Handgun,4400 BARCLAY DOWNS DR,1451224,515960,35.153751,-80.836076,Providence,358,,Other/Unknown,6,5,,2025,10,2025/10/13 00:00:00+00
1446195.00008847,570138.000008479,74,74,20251012-1907-00,19,Male,Black,Exceptionally Cleared,,Handgun,5000 BEATTIES FORD RD,1446195,570138,35.302332,-80.856287,North,123,2025/10/28 00:00:00+00,Other/Unknown,0,2,,2025,10,2025/10/12 00:00:00+00
1437212.00000989,526130.000098139,75,75,20251010-1732-00,53,Male,Black,Cleared by Arrest by Another Agency,,Handgun,4800 WALLINGFORD ST,1437212,526130,35.180969,-80.883591,Westover,290,2025/10/21 00:00:00+00,Robbery,3,2,,2025,10,2025/10/10 00:00:00+00
1442160.99995439,564066.000013396,76,76,20251008-2251-01,51,Male,Hispanic,Open,,Handgun,1300 WINDING BRANCH CT,1442161,564066,35.285443,-80.869422,North,158,2025/11/25 00:00:00+00,Other/Unknown,2,2,,2025,10,2025/10/08 00:00:00+00
1478818.00013106,549952.000026226,77,77,20251006-1602-02,32,Male,Hispanic,Open,,"Cutting Instrument, Handg",6300 BARRINGTON DR,1478818,549952,35.248503,-80.745772,North Tryon,249,2025/10/14 00:00:00+00,Other/Unknown,1,3,,2025,10,2025/10/06 00:00:00+00
1433646.99992205,551979.999907225,78,78,20251002-1316-01,54,Male,White,Cleared by Arrest by Another Agency,,Handgun,4400 EDDLEMAN RD,1433647,551980,35.251797,-80.897173,Freedom,385,2025/10/03 00:00:00+00,Argument,2,2,,2025,10,2025/10/02 00:00:00+00
1433646.99992205,551979.999907225,79,79,20251002-1316-01,54,Male,Hispanic,Cleared by Arrest by Another Agency,,Handgun,4400 EDDLEMAN RD,1433647,551980,35.251797,-80.897173,Freedom,385,2025/10/03 00:00:00+00,Argument,2,2,,2025,10,2025/10/02 00:00:00+00
1452008.99994339,538012.999954149,80,80,20251001-1954-03,16,Male,Hispanic,Open,,Handgun,900 METROPOLITAN AV,1452009,538013,35.214375,-80.834814,Central,476,2025/10/02 00:00:00+00,Other/Unknown,1,4,,2025,10,2025/10/01 00:00:00+00
1482748.00014505,594805.999884978,81,81,20250927-0208-00,31,Male,Black,Open,,Firearm,8800 HOLLOW CREEK CR,1482748,594806,35.371915,-80.735237,University City,195,,Other/Unknown,0,1,,2025,09,2025/09/27 00:00:00+00
1427460.00015697,511743.000000805,82,82,20250926-0921-01,,Female,Black,Cleared by Arrest by Another Agency,,Handgun,1600 DEBOER AV,1427460,511743,35.140933,-80.915293,Steele Creek,93,2025/09/26 00:00:00+00,Argument,3,2,,2025,09,2025/09/26 00:00:00+00
1431956.00002322,561622.99997814,83,83,20250921-0341-02,16,Male,Hispanic,Open,,Handgun,400 EAST TODD LN,1431956,561623,35.278199,-80.903456,Freedom,190,2025/09/26 00:00:00+00,Other/Unknown,2,2,,2025,09,2025/09/21 00:00:00+00
1451148.00002497,541738.000050068,84,84,20250921-0042-01,26,Male,Black,Open,,Handgun,200 N CALDWELL ST,1451148,541738,35.224565,-80.837927,Central,476,,Other/Unknown,1,4,,2025,09,2025/09/21 00:00:00+00
1448600.99986963,542181.000148311,85,85,20250918-1333-12,20,Male,Black,Open,,Handgun,100 BREVARD CT,1448601,542181,35.225652,-80.846481,Central,476,2025/09/18 00:00:00+00,Argument,2,4,,2025,09,2025/09/18 00:00:00+00
1412930.00001755,505004.000027388,86,86,20250917-0602-01,4,Male,Black,Cleared by Arrest,,Handgun,2200 CIGAR CT,1412930,505004,35.121639,-80.963441,Steele Creek,68,2025/10/28 00:00:00+00,Other/Unknown,3,6,,2025,09,2025/09/17 00:00:00+00
1475603.99999739,533601.999917895,87,87,20250916-0142-00,35,Male,Black,Open,,Handgun,5600 ALBEMARLE RD,1475604,533602,35.20343,-80.755567,Independence,16,2025/09/16 00:00:00+00,Other/Unknown,5,4,CENTRAL/ALBEMARLE,2025,09,2025/09/16 00:00:00+00
1459587.99987721,551527.000157058,88,88,20250907-0249-00,20,Male,Hispanic,Open,,Handgun,200 ATANDO AV,1459588,551527,35.251883,-80.810268,North Tryon,21,,Other/Unknown,1,3,GRAHAM STREET/NORTH TRYON,2025,09,2025/09/07 00:00:00+00
1443889.0001073,574822.000154898,89,89,20250902-0638-00,29,Male,Black,Open,,Handgun,4100 HYDE PARK DR,1443889,574822,35.315081,-80.864309,North,260,2025/10/15 00:00:00+00,Other/Unknown,2,2,,2025,09,2025/09/02 00:00:00+00
1437372.00001797,556403.999917477,90,90,20250828-0037-00,48,Male,Black,Open,,Handgun,200 HOSKINS MILL LN,1437372,556404,35.264145,-80.884979,Freedom,385,2025/08/30 00:00:00+00,Drugs,2,2,,2025,08,2025/08/28 00:00:00+00
1444824.99987572,537491.000013888,91,91,20250822-2155-02,,,,Open,,,1800 CAMDEN RD,1444825,537491,35.212574,-80.858829,Central,388,,,3,2,,2025,08,2025/08/22 00:00:00+00
1467456.99988721,554503.000110567,92,92,20250817-0345-01,16,Male,Black,Cleared by Arrest,,Firearms,4900 HILLSBORO AV,1467457,554503,35.260451,-80.784093,North Tryon,371,2025/09/05 00:00:00+00,Other/Unknown,1,3,,2025,08,2025/08/17 00:00:00+00
1445386.00006606,591884.00015156,93,93,20250807-0519-01,34,Female,Black,Cleared by Arrest by Another Agency,,Firearm,10200 REINDEER WAY LN,1445386,591884,35.362029,-80.860364,North,72,2025/08/20 00:00:00+00,Argument,0,1,,2025,08,2025/08/07 00:00:00+00
1467063.00001906,547928.000137225,94,94,20250803-0307-03,44,Male,Black,Open,,Knife,1900 TERRYBROOK LN,1467063,547928,35.242368,-80.785017,Eastway,10,2025/08/11 00:00:00+00,Drugs,1,3,,2025,08,2025/08/03 00:00:00+00
1439189.99999088,515802.000084892,95,95,20250802-2355-00,39,Male,Black,Open,,Handgun,6200 SOUTH BV,1439190,515802,35.152699,-80.876319,Westover,383,2025/08/03 00:00:00+00,Argument,6,5,,2025,08,2025/08/02 00:00:00+00
1473759.00007847,531595.999992892,96,96,20250728-1055-01,65,Male,White,Cleared by Arrest by Another Agency,,Physical,4600 CORONADO DR,1473759,531596,35.197829,-80.761623,Independence,16,2025/07/28 00:00:00+00,Argument,5,4,,2025,07,2025/07/28 00:00:00+00
1450627.00008272,542939.999942645,97,97,20250713-0200-00,37,Male,Black,Cleared by Arrest by Another Agency,,Firearms,300 N COLLEGE ST,1450627,542940,35.227841,-80.839745,Central,476,2025/07/17 00:00:00+00,Argument,1,4,,2025,07,2025/07/13 00:00:00+00
1472810.00000797,561927.000026315,98,98,20250707-1022-01,0,Female,White,Open,,Drugs,300 ORCHARD TRACE LN,1472810,561927,35.281109,-80.766606,North Tryon,103,2025/09/02 00:00:00+00,Other/Unknown,1,3,,2025,07,2025/07/07 00:00:00+00
1451148.00002497,541738.000050068,99,99,20250705-0130-00,18,Male,White,Open,,Handgun,200 N CALDWELL ST,1451148,541738,35.224565,-80.837927,Central,476,,Other/Unknown,1,4,,2025,07,2025/07/05 00:00:00+00
1451148.00002497,541738.000050068,100,100,20250705-0130-00,27,Male,Black,Open,,Handgun,200 N CALDWELL ST,1451148,541738,35.224565,-80.837927,Central,476,,Other/Unknown,1,4,,2025,07,2025/07/05 00:00:00+00
1478167.00012071,518868.999856398,101,101,20250702-1218-01,35,Female,Black,Exceptionally Cleared,Intimate Partner,Handgun,7300 PEBBLESTONE DR,1478167,518869,35.163079,-80.746121,Independence,246,2025/07/08 00:00:00+00,Domestic,5,4,,2025,07,2025/07/02 00:00:00+00
1469808.00010647,555250.999926895,102,102,20250626-2321-01,15,Male,Black,Cleared by Arrest,,Handgun,1000 MERRICK ST,1469808,555251,35.262621,-80.776264,North Tryon,371,2025/08/26 00:00:00+00,Other/Unknown,1,3,,2025,06,2025/06/26 00:00:00+00
1476794.99991196,549331.999953896,103,103,20250624-1928-00,24,Male,Black,Cleared by Arrest by Another Agency,,Firearm,1900 MILTON RD,1476795,549332,35.246702,-80.75251,North Tryon,223,2025/07/17 00:00:00+00,Other/Unknown,1,3,,2025,06,2025/06/24 00:00:00+00
