X,Y,OBJECTID,ID,CRIME_REPORT_ID,AGE,GENDER,RACE_ETHNICITY,CLEARANCE_STATUS,IPV,WEAPON,LOCATION,X_COORD_PUBLIC,Y_COORD_PUBLIC,LATITUDE_PUBLIC,LONGITUDE_PUBLIC,CMPD_PATROL_DIVISION,NPA,CLEARANCE_DATE,CIRCUMSTANCES,COUNCIL_DISTRICT,COMMISSION_DISTRICT,CORRIDOR,CALENDAR_YEAR,CALENDAR_MONTH,DATE_REPORTED
1465465.99993221,560435.000057563,976,976,20151220-1434-00,16,Female,Black,Cleared by Arrest,,Handgun,1600 VANCOUVER DR,1465466,560435,35.276648,-80.79112,North Tryon,371,2018/03/20 00:00:00+00,Other/Unknown,1,3,SUGAR CREEK/I-85,2015,12,2015/12/20 00:00:00+00
1435880.00004922,500016.000160888,977,977,20151204-1028-00,30,Male,Black,Cleared by Arrest,,Handgun,9500 CHINA GROVE CHURCH RD,1435880,500016,35.109159,-80.886387,Steele Creek,116,2016/02/17 00:00:00+00,Gang,3,2,,2015,12,2015/12/04 00:00:00+00
1435880.00004922,500016.000160888,978,978,20151204-1028-00,28,Male,Black,Cleared by Arrest,,Handgun,9500 CHINA GROVE CHURCH RD,1435880,500016,35.109159,-80.886387,Steele Creek,116,2016/02/17 00:00:00+00,Gang,3,2,,2015,12,2015/12/04 00:00:00+00
1435880.00004922,500016.000160888,979,979,20151204-1028-00,29,Male,Black,Cleared by Arrest,,Handgun,9500 CHINA GROVE CHURCH RD,1435880,500016,35.109159,-80.886387,Steele Creek,116,2016/02/17 00:00:00+00,Gang,3,2,,2015,12,2015/12/04 00:00:00+00
1478500.00011089,541722.000082061,980,980,20151202-2222-01,35,Female,White,Cleared by Arrest,,Handgun,4800 SHAMROCK DR,1478500,541722,35.225878,-80.746352,Hickory Grove,167,2015/12/03 00:00:00+00,Robbery,5,4,,2015,12,2015/12/02 00:00:00+00
1456484.99984963,543714.000035062,981,981,20151112-1648-08,31,Male,Black,Open,,Handgun,1300 SEIGLE AV,1456485,543714,35.230264,-80.82018,Eastway,37,,Other/Unknown,1,3,,2015,11,2015/11/12 00:00:00+00
1479324.00010331,517831.999961898,982,982,20151028-2115-02,22,Male,Black,Cleared by Arrest,,Handgun,7300 CREEKWOOD QUORUM DR,1479324,517832,35.160286,-80.742189,Independence,270,2015/10/29 00:00:00+00,Drugs,6,4,,2015,10,2015/10/28 00:00:00+00
1444257.00002748,547980.00003323,983,983,20151028-1253-01,53,Female,Black,Cleared by Arrest,Intimate Partner,Physical,300 STATE ST,1444257,547980,35.24136,-80.861389,Metro,382,2015/10/28 00:00:00+00,Domestic,2,2,,2015,10,2015/10/28 00:00:00+00
1476323.99986972,550085.000088304,984,984,20151024-2221-00,28,Male,Black,Cleared by Arrest,,Handgun,6000 THE PLAZA,1476324,550085,35.248748,-80.754132,North Tryon,223,2015/11/25 00:00:00+00,Argument,1,3,,2015,10,2015/10/24 00:00:00+00
1431368.99988489,542964.999892637,985,985,20151017-2310-00,29,Male,Black,Cleared by Arrest,,Handgun,3800 DAVIS AV,1431369,542965,35.226912,-80.904223,Freedom,387,2015/10/18 00:00:00+00,Argument,3,2,FREEDOM DRIVE/WILKINSON,2015,10,2015/10/17 00:00:00+00
1475925.00001155,550415.000084475,986,986,20151015-1409-01,23,Male,Black,Exceptionally Cleared,,"Handgun, Shotgun",5900 THE PLAZA,1475925,550415,35.249635,-80.755488,North Tryon,223,2015/12/15 00:00:00+00,Argument,1,3,,2015,10,2015/10/15 00:00:00+00
1444936.99997981,563099.999976888,987,987,20151007-1222-03,25,Male,Black,Cleared by Arrest,,Handgun,1800 GRIERS GROVE RD,1444937,563100,35.282932,-80.860061,Metro,123,2015/10/08 00:00:00+00,Domestic,2,2,,2015,10,2015/10/07 00:00:00+00
1428353.00001138,536714.999925479,988,988,20151002-2128-01,23,Female,Black,Cleared by Arrest,Intimate Partner,Handgun,3100 NOBLES AV,1428353,536715,35.209582,-80.913917,Westover,306,2015/10/21 00:00:00+00,Domestic,3,2,,2015,10,2015/10/02 00:00:00+00
1432316.99995738,521187.00014165,989,989,20150930-0016-01,23,Male,Black,Cleared by Arrest,,Handgun,6100 COOLBROOK CT,1432317,521187,35.167133,-80.899654,Westover,121,2015/10/01 00:00:00+00,Domestic,3,2,,2015,09,2015/09/30 00:00:00+00
