NPA,2023
2,"95.6%"
3,"97.4%"
4,"94.3%"
5,"82.8%"
6,"100%"
7,"96.6%"
8,"100%"
9,"100%"
10,"95.8%"
11,"99%"
12,"96.2%"
13,"96.9%"
14,"100%"
15,"99%"
16,"92.8%"
17,"87.8%"
18,"96.8%"
19,"94.7%"
20,"100%"
21,"98.4%"
22,"99.6%"
23,"100%"
24,"100%"
25,"92.4%"
26,"96%"
27,"93.9%"
28,"100%"
29,"94.5%"
30,"93.8%"
31,"100%"
32,"92.1%"
33,"100%"
34,"90.4%"
35,"97.3%"
36,"98.7%"
37,"93.2%"
38,"97.1%"
39,"94%"
40,"91.5%"
41,"100%"
42,"95%"
43,"100%"
44,"95.9%"
45,"96.6%"
46,"93.8%"
47,"77.5%"
48,"90.6%"
49,"99.2%"
50,"100%"
51,"97.8%"
52,"93.3%"
53,"93.8%"
54,"91.8%"
55,"97.4%"
56,"96.1%"
57,"94%"
58,"94.4%"
59,"96.9%"
60,"96.3%"
61,"96.9%"
62,"73.3%"
64,"96.3%"
65,"99.4%"
66,"95.6%"
67,"100%"
68,"98.3%"
69,"98.2%"
70,"85.1%"
71,"89.2%"
72,"97.9%"
73,"97.1%"
74,"90.7%"
75,"97.1%"
76,"95.8%"
77,"93.3%"
78,"89.7%"
79,"92.1%"
80,"100%"
81,"85.5%"
82,"97.1%"
83,"90.3%"
84,"100%"
85,"96.5%"
86,"91%"
87,"100%"
88,"82.5%"
89,"90.8%"
90,"98.1%"
91,"89.4%"
92,"93.9%"
93,"89%"
94,"91.7%"
95,"92.2%"
96,"96.8%"
97,"98%"
98,"98.8%"
99,"96.9%"
100,"83.8%"
101,"94.3%"
102,"90.3%"
103,"95.5%"
105,"94.4%"
106,"97.5%"
107,"97.8%"
108,"96.4%"
109,"93.3%"
110,"95.7%"
111,"96.7%"
112,"94.2%"
113,"98.5%"
114,"80.3%"
115,"92.9%"
116,"92.9%"
117,"99.2%"
118,"94.2%"
119,"41.3%"
120,"87.6%"
121,"98.4%"
122,"--"
123,"100%"
124,"100%"
125,"97.5%"
126,"95%"
127,"94.9%"
128,"90.3%"
129,"99.6%"
130,"97.3%"
131,"99.7%"
132,"100%"
133,"95.6%"
134,"69.7%"
135,"82.5%"
136,"97.8%"
137,"84.6%"
138,"100%"
139,"100%"
140,"94.6%"
141,"100%"
142,"93.9%"
143,"100%"
144,"94.5%"
145,"89%"
146,"95.2%"
147,"94.7%"
148,"95.8%"
149,"97.2%"
150,"100%"
151,"92.1%"
152,"90.9%"
153,"96.1%"
154,"95.8%"
155,"96.8%"
156,"95.2%"
157,"86.9%"
158,"93.8%"
159,"97%"
160,"100%"
161,"100%"
162,"84%"
163,"93.3%"
164,"95.4%"
165,"97.2%"
166,"87.6%"
167,"92.9%"
168,"95.6%"
169,"100%"
170,"90.7%"
171,"97.7%"
172,"96.4%"
173,"95.5%"
174,"93.7%"
175,"91.6%"
176,"98.2%"
177,"97.3%"
178,"96%"
179,"97.6%"
180,"89.6%"
181,"96.7%"
182,"95%"
183,"100%"
184,"97.3%"
185,"96.3%"
186,"94.8%"
187,"100%"
188,"96.4%"
189,"95.7%"
190,"100%"
191,"99.4%"
192,"94.3%"
193,"93.7%"
194,"99.2%"
195,"99.3%"
196,"94.5%"
197,"97.9%"
198,"99%"
199,"95.6%"
200,"95.7%"
201,"96.2%"
202,"94.3%"
203,"91.6%"
204,"95.9%"
205,"100%"
206,"95.5%"
207,"98.5%"
208,"98.7%"
209,"96.1%"
210,"98.1%"
211,"93.3%"
212,"100%"
213,"96.6%"
215,"100%"
216,"89.3%"
217,"100%"
218,"96.9%"
219,"94.7%"
220,"89.2%"
221,"97.2%"
222,"98.8%"
223,"88.9%"
224,"90.3%"
225,"93.7%"
226,"100%"
227,"99.9%"
228,"100%"
229,"89.1%"
230,"95.7%"
231,"100%"
232,"98.6%"
233,"95.7%"
234,"94.1%"
235,"96%"
236,"96.9%"
237,"98.6%"
238,"98.5%"
240,"93.4%"
241,"100%"
242,"89.7%"
243,"100%"
244,"97.8%"
245,"87.5%"
246,"96.7%"
247,"100%"
248,"100%"
249,"89.8%"
250,"93.8%"
251,"96.6%"
252,"80.8%"
253,"97.9%"
254,"100%"
255,"94.1%"
256,"98.8%"
257,"94.9%"
258,"86.8%"
259,"99.3%"
260,"97.1%"
261,"98.3%"
262,"97.1%"
263,"98%"
264,"93.3%"
265,"97.7%"
266,"97.2%"
267,"95%"
268,"97.6%"
269,"93.1%"
270,"94.3%"
271,"90.5%"
272,"90.3%"
273,"96.6%"
274,"94.9%"
275,"97.8%"
276,"100%"
277,"98.7%"
278,"98.6%"
279,"100%"
280,"100%"
281,"96.5%"
282,"99.6%"
283,"99.6%"
284,"95.3%"
285,"--"
286,"98.9%"
287,"100%"
288,"97.9%"
289,"93.7%"
290,"99.8%"
291,"100%"
292,"100%"
293,"94.9%"
294,"89.4%"
295,"94.9%"
296,"95%"
297,"100%"
298,"92.5%"
299,"98.8%"
300,"100%"
301,"94.7%"
302,"100%"
303,"76.1%"
